timestamp,SN,counter,time,lat,lon,alt,vSpeed,eSpeed,nSpeed,sats,temp,rh,battery,rssi
2026-01-03T23:20:14.594568,1, 1300, 1615075327, 0, 0, -17000, 0, 0, 0, 0, 5496, 115, 21, -60.00
2026-01-03T23:20:16.082284,1, 1301, 1767478815, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 21, -60.00
2026-01-03T23:20:17.071001,1, 1302, 1767478816, 0, 0, -17000, 0, 0, 0, 0, 5506, 116, 21, -60.00
2026-01-03T23:20:18.076269,1, 1303, 1767478817, 0, 0, -17000, 0, 0, 0, 0, 5516, 115, 21, -60.00
2026-01-03T23:20:19.066620,1, 1304, 1767478818, 0, 0, -17000, 0, 0, 0, 0, 5526, 116, 22, -60.00
2026-01-03T23:20:20.067762,1, 1305, 1767478819, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 21, -59.00
2026-01-03T23:20:21.070886,1, 1306, 1767478820, 0, 0, -17000, 0, 0, 0, 0, 5526, 115, 21, -59.00
2026-01-03T23:20:22.071656,1, 1307, 1767478821, 0, 0, -17000, 0, 0, 0, 0, 5496, 114, 22, -59.00
2026-01-03T23:20:23.079016,1, 1308, 1767478822, 0, 0, -17000, 0, 0, 0, 0, 5496, 116, 22, -59.00
2026-01-03T23:20:24.073045,1, 1309, 1767478823, 0, 0, -17000, 0, 0, 0, 0, 5496, 115, 22, -59.00
2026-01-03T23:20:25.080746,1, 1310, 1767478824, 0, 0, -17000, 0, 0, 0, 0, 5496, 114, 22, -59.00
2026-01-03T23:20:26.068667,1, 1311, 1767478825, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 21, -58.00
2026-01-03T23:20:27.071624,1, 1312, 1767478826, 0, 0, -17000, 0, 0, 0, 0, 5496, 116, 22, -59.00
2026-01-03T23:20:28.070050,1, 1313, 1767478827, 0, 0, -17000, 0, 0, 0, 0, 5496, 115, 22, -59.00
2026-01-03T23:20:29.075471,1, 1314, 1767478828, 0, 0, -17000, 0, 0, 0, 0, 5486, 114, 21, -58.00
2026-01-03T23:20:30.068179,1, 1315, 1767478829, 0, 0, -17000, 0, 0, 0, 0, 5496, 115, 22, -59.00
2026-01-03T23:20:31.078426,1, 1316, 1767478830, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 21, -61.00
2026-01-03T23:20:32.064013,1, 1317, 1767478831, 0, 0, -17000, 0, 0, 0, 0, 5536, 115, 22, -57.00
2026-01-03T23:20:33.066139,1, 1318, 1767478832, 0, 0, -17000, 0, 0, 0, 0, 5526, 116, 21, -56.00
2026-01-03T23:20:34.062248,1, 1319, 1767478833, 0, 0, -17000, 0, 0, 0, 0, 5516, 116, 22, -57.00
2026-01-03T23:20:35.073912,1, 1320, 1767478834, 0, 0, -17000, 0, 0, 0, 0, 5486, 114, 22, -57.00
2026-01-03T23:20:36.085288,1, 1321, 1767478835, 0, 0, -17000, 0, 0, 0, 0, 5516, 114, 21, -57.00
2026-01-03T23:20:37.069977,1, 1322, 1767478836, 0, 0, -17000, 0, 0, 0, 0, 5476, 115, 21, -58.00
2026-01-03T23:20:38.073857,1, 1323, 1767478837, 0, 0, -17000, 0, 0, 0, 0, 5506, 116, 22, -58.00
2026-01-03T23:20:39.079718,1, 1324, 1767478838, 0, 0, -17000, 0, 0, 0, 0, 5506, 115, 21, -58.00
2026-01-03T23:20:40.067344,1, 1325, 1767478839, 0, 0, -17000, 0, 0, 0, 0, 5516, 115, 22, -60.00
2026-01-03T23:20:41.078848,1, 1326, 1767478840, 0, 0, -17000, 0, 0, 0, 0, 5516, 117, 21, -60.00
2026-01-03T23:20:42.071443,1, 1327, 1767478841, 0, 0, -17000, 0, 0, 0, 0, 5567, 116, 21, -60.00
2026-01-03T23:20:43.077047,1, 1328, 1767478842, 0, 0, -17000, 0, 0, 0, 0, 5536, 115, 22, -60.00
2026-01-03T23:20:44.080118,1, 1329, 1767478843, 0, 0, -17000, 0, 0, 0, 0, 5536, 115, 22, -60.00
2026-01-03T23:20:45.066559,1, 1330, 1767478844, 0, 0, -17000, 0, 0, 0, 0, 5546, 115, 22, -60.00
